session_id,user_id,session_start,session_end,total_actions,total_views,total_purchases,total_add_to_cart,unique_products,duration_seconds,conversion_rate,is_abandoned_cart,is_high_activity
sess_102,99,2025-09-16 07:42:23.207677,2026-05-30 03:13:38.216529,6,4,1,1,6,22102275.008852,0.25,False,False
sess_1020,1098,2025-12-24 08:14:51.219548,2025-12-24 08:14:51.219548,1,0,1,0,1,0.0,0.0,False,False
sess_1021,607,2025-11-24 01:16:44.199974,2026-01-10 07:56:56.222317,2,0,0,2,2,4084812.022343,0.0,True,False
sess_1022,161,2025-06-21 01:18:09.202536,2026-03-15 07:14:17.237113,3,1,1,1,3,23090168.034577,1.0,False,False
sess_1023,450,2025-11-05 15:04:48.186925,2026-01-04 18:52:26.214026,3,1,1,1,3,5197658.027101,1.0,False,False
sess_1025,417,2025-11-14 13:55:19.178635,2026-04-29 17:18:34.181409,2,0,0,2,2,14354595.002774,0.0,True,False
sess_1026,1050,2025-12-13 22:22:54.228610,2026-04-28 18:06:21.222317,3,0,3,0,3,11735006.993707,0.0,False,False
sess_1028,300,2026-03-25 05:22:23.197951,2026-03-25 05:22:23.197951,1,0,1,0,1,0.0,0.0,False,False
sess_1029,265,2025-06-23 14:11:01.181409,2025-12-29 14:56:45.238931,3,3,0,0,3,16332344.057522,0.0,False,False
sess_103,1022,2026-01-29 19:52:46.249957,2026-01-29 19:52:46.249957,1,0,1,0,1,0.0,0.0,False,False
sess_1030,298,2025-10-31 21:40:11.186925,2025-10-31 21:40:11.186925,1,1,0,0,1,0.0,0.0,False,False
sess_1031,732,2025-07-15 05:24:41.211509,2026-03-15 13:39:56.212022,4,1,2,1,4,21024915.000513,2.0,False,False
sess_1032,602,2025-09-18 18:13:15.209185,2025-09-18 18:13:15.209185,1,1,0,0,1,0.0,0.0,False,False
sess_1033,887,2025-07-30 11:48:29.247953,2025-12-22 16:50:29.251960,2,0,2,0,2,12546120.004007,0.0,False,False
sess_1034,320,2025-09-27 04:28:42.186925,2026-04-20 21:04:34.178635,3,1,1,1,3,17771751.99171,1.0,False,False
sess_1035,700,2025-09-26 08:13:44.222317,2026-02-07 13:02:06.253968,3,1,1,1,3,11594902.031651,1.0,False,False
sess_1036,224,2025-08-14 18:41:39.242937,2025-08-14 18:41:39.242937,1,0,0,1,1,0.0,0.0,True,False
sess_1037,864,2026-06-02 14:30:25.216529,2026-06-02 14:30:25.216529,1,0,1,0,1,0.0,0.0,False,False
sess_1038,824,2026-01-19 22:49:03.199974,2026-05-29 04:12:09.212022,2,2,0,0,2,11164986.012048,0.0,False,False
sess_1039,202,2025-06-28 08:09:33.214026,2026-05-03 16:49:02.186925,4,3,1,0,4,26728768.972899,0.3333333333333333,False,False
sess_104,915,2025-09-01 13:47:31.228610,2025-11-07 09:10:13.216529,2,0,2,0,2,5772161.987919,0.0,False,False
sess_1040,709,2025-10-09 07:28:10.228610,2026-02-26 10:11:45.199974,2,1,0,1,2,12105814.971364,0.0,True,False
sess_1041,55,2025-10-17 20:19:27.186925,2026-04-26 23:36:21.219548,4,2,0,2,4,16514214.032623,0.0,True,False
sess_1042,792,2025-10-27 08:00:08.238931,2026-05-15 22:45:28.238931,3,1,2,0,3,17333120.0,2.0,False,False
sess_1043,52,2025-08-04 04:25:55.219548,2026-04-30 07:38:23.240934,6,1,4,1,6,23253148.021386,4.0,False,False
sess_1045,462,2026-03-28 15:38:49.245946,2026-04-23 23:30:22.216529,2,1,1,0,2,2274692.970583,1.0,False,False
sess_1046,1097,2025-11-13 15:01:10.237113,2026-05-09 10:07:58.237113,4,0,3,1,4,15275208.0,0.0,False,False
sess_1047,413,2025-07-10 20:42:36.251960,2026-03-19 21:58:22.249957,5,2,3,0,5,21777345.997997,1.5,False,False
sess_1048,201,2026-02-19 01:20:42.247953,2026-02-19 01:20:42.247953,1,0,0,1,1,0.0,0.0,True,False
sess_1049,95,2025-08-21 17:11:27.218542,2025-11-17 12:01:08.216529,4,0,2,2,4,7584580.997987,0.0,False,False
sess_105,178,2026-04-10 00:41:52.186925,2026-04-10 11:12:06.214026,2,0,1,1,2,37814.027101,0.0,False,False
sess_1050,544,2025-08-11 11:28:16.183414,2026-01-26 08:45:48.186925,4,2,0,2,4,14505452.003511,0.0,True,False
sess_1051,845,2025-08-24 08:17:33.251960,2026-03-16 05:50:41.235934,3,1,1,1,3,17616787.983974,1.0,False,False
sess_1053,496,2025-10-29 18:33:12.245946,2026-05-31 03:13:16.240934,3,1,1,1,3,18434403.994988,1.0,False,False
sess_1054,261,2025-06-13 21:42:46.222317,2026-02-09 22:56:51.216529,6,4,2,0,6,20826844.994212,0.5,False,False
sess_1055,61,2025-11-26 14:30:32.245946,2026-03-04 10:35:14.228610,4,1,2,1,4,8453081.982664,2.0,False,False
sess_1056,463,2025-10-16 15:58:20.228610,2026-05-13 07:33:32.203543,3,3,0,0,3,18027311.974933,0.0,False,False
sess_1057,989,2025-06-21 21:30:42.235934,2026-05-06 06:33:28.181409,6,2,2,2,6,27507765.945475,1.0,False,False
sess_1058,1017,2025-10-09 22:33:33.237113,2026-03-29 19:21:21.181409,2,1,1,0,2,14762867.944296,1.0,False,False
sess_1059,730,2025-11-21 18:17:50.254569,2026-05-31 17:59:32.238931,3,1,2,0,3,16501301.984362,2.0,False,False
sess_106,13,2026-02-04 20:14:33.245946,2026-02-04 20:14:33.245946,1,1,0,0,1,0.0,0.0,False,False
sess_1060,293,2025-06-18 19:08:54.195433,2026-06-03 08:31:22.247953,2,1,1,0,2,30201748.05252,1.0,False,False
sess_1061,352,2025-09-07 02:05:09.214026,2025-12-27 16:01:45.185418,3,0,0,3,3,9640595.971392,0.0,True,False
sess_1062,39,2025-09-07 17:51:22.228610,2025-11-16 12:18:14.224321,3,0,2,1,3,6028011.995711,0.0,False,False
sess_1063,56,2025-08-07 08:43:38.243940,2026-06-08 06:40:27.186925,5,2,2,1,5,26344608.942985,1.0,False,False
sess_1064,956,2025-11-13 03:36:37.222317,2025-11-13 03:36:37.222317,1,1,0,0,1,0.0,0.0,False,False
sess_1065,203,2026-04-19 18:49:58.214026,2026-04-19 18:49:58.214026,1,1,0,0,1,0.0,0.0,False,False
sess_1066,1010,2025-11-16 20:03:41.222317,2026-01-17 00:48:45.235934,2,1,0,1,2,5287504.013617,0.0,True,False
sess_1068,383,2025-10-17 14:00:39.212022,2026-01-10 15:34:26.222317,3,1,1,1,3,7349627.010295,1.0,False,False
sess_1069,696,2026-03-17 12:43:51.178635,2026-03-17 12:43:51.178635,1,0,1,0,1,0.0,0.0,False,False
sess_1070,112,2026-03-02 11:36:15.181409,2026-04-20 20:02:52.218542,2,1,1,0,2,4263997.037133,1.0,False,False
sess_1071,877,2026-01-15 21:52:10.238931,2026-01-15 21:52:10.238931,1,1,0,0,1,0.0,0.0,False,False
sess_1072,361,2025-12-08 21:13:05.186925,2026-05-11 22:20:50.228610,2,0,1,1,2,13309665.041685,0.0,False,False
sess_1073,562,2026-01-08 19:42:48.211509,2026-01-08 19:42:48.211509,1,0,1,0,1,0.0,0.0,False,False
sess_1074,520,2026-01-21 17:37:26.216529,2026-01-21 17:37:26.216529,1,0,1,0,1,0.0,0.0,False,False
sess_1075,632,2025-10-19 04:40:32.235934,2026-03-22 09:13:39.178635,3,1,2,0,3,13321986.942701,2.0,False,False
sess_1076,180,2025-07-15 00:17:45.228610,2026-01-21 20:38:17.201981,2,1,1,0,2,16489231.973371,1.0,False,False
sess_1077,469,2026-04-03 00:56:48.227826,2026-04-03 00:56:48.227826,1,0,0,1,1,0.0,0.0,True,False
sess_1078,297,2025-10-04 21:25:04.228610,2025-12-27 18:46:43.195433,2,0,0,2,2,7248098.966823,0.0,True,False
sess_1079,308,2025-12-31 12:46:20.249957,2025-12-31 12:46:20.249957,1,1,0,0,1,0.0,0.0,False,False
sess_1080,334,2025-11-23 11:23:13.207677,2026-05-25 01:44:02.186925,4,1,1,2,4,15776448.979248,1.0,False,False
sess_1081,401,2026-01-10 05:09:20.202536,2026-01-10 05:09:20.202536,1,0,0,1,1,0.0,0.0,True,False
sess_1082,779,2025-09-20 08:48:55.186925,2025-09-21 15:28:26.228610,2,2,0,0,2,110371.041685,0.0,False,False
sess_1083,435,2026-01-27 06:38:26.209185,2026-01-27 06:38:26.209185,1,0,1,0,1,0.0,0.0,False,False
sess_1084,633,2026-03-10 02:08:47.216529,2026-05-14 02:23:59.181409,2,0,1,1,2,5616911.96488,0.0,False,False
sess_1085,806,2026-01-09 08:54:03.227826,2026-01-09 08:54:03.227826,1,1,0,0,1,0.0,0.0,False,False
sess_1086,11,2025-10-04 14:55:12.226324,2026-04-25 14:47:35.242937,2,1,0,1,2,17538743.016613,0.0,True,False
sess_1087,1027,2025-11-26 05:03:28.186925,2026-05-21 16:35:51.245946,2,1,0,1,2,15247943.059021,0.0,True,False
sess_1088,123,2025-06-26 17:19:37.238931,2026-03-30 12:27:43.226324,3,0,2,1,3,23915285.987393,0.0,False,False
sess_1089,738,2025-09-10 19:16:16.238931,2025-09-10 19:16:16.238931,1,0,0,1,1,0.0,0.0,True,False
sess_109,470,2025-12-10 06:24:23.249957,2026-03-29 16:27:39.249957,3,0,3,0,3,9453796.0,0.0,False,False
sess_1090,426,2025-08-27 14:24:25.240934,2025-12-24 23:25:46.238931,2,0,2,0,2,10314080.997997,0.0,False,False
sess_1092,1080,2025-07-17 20:36:19.216529,2026-05-06 19:55:25.247953,4,0,1,3,4,25312746.031424,0.0,False,False
sess_1094,681,2025-08-19 07:42:07.203543,2026-05-08 06:46:17.249957,4,2,1,1,4,22633450.046414,0.5,False,False
sess_1095,25,2026-04-23 18:57:57.228610,2026-04-23 18:57:57.228610,1,0,1,0,1,0.0,0.0,False,False
sess_1096,728,2025-09-10 20:04:22.228610,2026-04-18 08:00:24.228610,2,1,1,0,2,18964562.0,1.0,False,False
sess_1097,64,2026-01-22 23:56:21.186925,2026-05-08 16:25:49.209185,2,0,2,0,2,9131368.02226,0.0,False,False
sess_1099,651,2025-11-21 15:54:56.209185,2026-04-25 04:02:51.183414,2,0,0,2,2,13349274.974229,0.0,True,False
sess_11,504,2026-01-26 17:02:30.224321,2026-02-01 03:07:58.249957,2,2,0,0,2,468328.025636,0.0,False,False
sess_110,776,2025-06-17 14:45:28.247953,2026-05-14 20:16:52.186925,2,1,0,1,2,28618283.938972,0.0,True,False
sess_1100,1074,2025-08-12 23:35:45.224321,2026-05-04 11:10:43.245946,4,1,1,2,4,22851298.021625,1.0,False,False
sess_1102,227,2025-09-09 20:41:18.235934,2026-04-01 01:01:38.216529,4,0,1,3,4,17554819.980595,0.0,False,False
sess_1103,877,2025-07-24 04:15:24.214026,2025-12-07 23:43:16.253968,2,1,1,0,2,11820472.039942,1.0,False,False
sess_1104,59,2025-11-25 10:26:55.238931,2026-05-15 10:11:10.212022,3,1,0,2,3,14773454.973091,0.0,True,False
sess_1105,946,2025-10-22 02:30:11.228610,2026-03-28 04:32:03.224321,3,0,2,1,3,13572111.995711,0.0,False,False
sess_1106,532,2025-07-09 15:42:01.185418,2026-02-28 03:13:09.202536,3,0,2,1,3,20172668.017118,0.0,False,False
sess_1107,988,2025-08-18 20:45:24.214026,2026-01-14 11:47:04.199974,2,1,0,1,2,12841299.985948,0.0,True,False
sess_1108,622,2025-09-15 15:42:27.240934,2025-10-15 12:09:09.228610,2,0,1,1,2,2579201.987676,0.0,False,False
sess_1109,497,2025-08-07 22:11:59.242937,2025-11-01 02:52:07.226324,3,1,2,0,3,7360807.983387,2.0,False,False
sess_111,1055,2025-10-23 13:38:02.253968,2026-04-14 18:40:30.247953,3,0,2,1,3,14965347.993985,0.0,False,False
sess_1110,164,2026-03-19 19:35:39.219548,2026-03-19 19:35:39.219548,1,1,0,0,1,0.0,0.0,False,False
sess_1111,1056,2025-06-14 23:56:21.199974,2026-01-08 17:15:59.186925,3,2,1,0,3,17947177.986951,0.5,False,False
sess_1112,1010,2025-07-03 03:52:20.212022,2025-07-03 03:52:20.212022,1,0,1,0,1,0.0,0.0,False,False
sess_1114,198,2026-01-01 04:04:42.186925,2026-01-01 04:04:42.186925,1,1,0,0,1,0.0,0.0,False,False
sess_1115,304,2026-01-30 10:50:02.218542,2026-04-04 00:38:54.183414,2,1,0,1,2,5492931.964872,0.0,True,False
sess_1116,982,2025-09-12 20:03:03.237113,2026-04-24 12:45:18.181409,3,0,2,1,3,19327334.944296,0.0,False,False
sess_1118,392,2025-12-10 17:00:28.247953,2026-01-12 22:40:36.186925,2,1,0,1,2,2871607.938972,0.0,True,False
sess_1119,70,2025-10-29 22:08:52.238931,2026-04-29 05:18:37.249957,3,3,0,0,3,15664185.011026,0.0,False,False
sess_112,695,2026-01-18 14:42:10.207677,2026-01-18 14:42:10.207677,1,0,1,0,1,0.0,0.0,False,False
sess_1120,643,2025-11-06 10:36:21.238931,2025-11-06 10:36:21.238931,1,0,0,1,1,0.0,0.0,True,False
sess_1121,156,2025-07-23 03:05:16.228610,2026-04-24 02:13:13.224321,3,1,1,1,3,23756876.995711,1.0,False,False
sess_1122,555,2025-06-17 17:56:17.243940,2026-05-08 20:41:32.178635,4,3,0,1,4,28089914.934695,0.0,True,False
sess_1123,208,2025-11-28 17:18:29.251960,2025-12-08 00:09:39.253968,2,1,0,1,2,802270.002008,0.0,True,False
sess_1124,906,2026-01-24 10:19:35.238931,2026-01-24 10:19:35.238931,1,1,0,0,1,0.0,0.0,False,False
sess_1127,1020,2025-06-25 09:08:28.186925,2026-03-04 12:18:20.212022,2,1,1,0,2,21784192.025097,1.0,False,False
sess_1128,25,2026-02-09 17:05:03.228610,2026-02-09 17:05:03.228610,1,0,1,0,1,0.0,0.0,False,False
sess_1129,231,2026-03-17 16:28:04.228610,2026-03-17 16:28:04.228610,1,1,0,0,1,0.0,0.0,False,False
sess_113,332,2025-10-12 22:16:24.214026,2026-02-13 19:44:31.251960,2,1,1,0,2,10704487.037934,1.0,False,False
sess_1132,167,2026-05-27 13:17:37.222317,2026-05-27 13:17:37.222317,1,0,1,0,1,0.0,0.0,False,False
sess_1135,852,2025-08-25 16:03:44.247953,2025-10-02 23:00:26.249957,2,1,0,1,2,3308202.002004,0.0,True,False
sess_1137,516,2025-08-26 14:12:31.207677,2025-10-10 07:49:52.243940,3,2,1,0,3,3865041.036263,0.5,False,False
sess_1138,789,2025-10-18 10:08:47.212022,2025-10-18 10:08:47.212022,1,0,1,0,1,0.0,0.0,False,False
sess_1139,780,2026-04-22 17:28:12.235934,2026-04-27 10:59:51.238931,2,1,1,0,2,408699.002997,1.0,False,False
sess_114,517,2025-07-09 17:49:13.186925,2025-07-09 17:49:13.186925,1,0,1,0,1,0.0,0.0,False,False
sess_1140,235,2025-09-19 17:49:53.186925,2026-05-26 16:44:46.240934,3,1,2,0,3,21509693.054009,2.0,False,False
sess_1141,510,2025-11-21 07:55:18.209185,2025-11-21 07:55:18.209185,1,0,0,1,1,0.0,0.0,True,False
sess_1142,284,2026-04-24 21:54:11.228610,2026-04-24 21:54:11.228610,1,0,0,1,1,0.0,0.0,True,False
sess_1143,568,2025-07-07 13:43:55.226324,2026-05-29 11:15:41.238931,4,1,1,2,4,28157506.012607,1.0,False,False
sess_1144,663,2025-07-26 06:33:50.183414,2026-04-01 06:54:39.228610,5,4,0,1,5,21514849.045196,0.0,True,False
sess_1145,6,2025-09-06 14:48:41.247953,2026-05-16 21:55:57.181409,3,0,0,3,3,21798435.933456,0.0,True,False
sess_1146,91,2025-12-23 10:45:26.249957,2025-12-23 10:45:26.249957,1,0,0,1,1,0.0,0.0,True,False
sess_1147,657,2025-09-12 16:55:48.226324,2026-04-14 07:29:51.186925,4,1,3,0,4,18455642.960601,3.0,False,False
sess_1148,607,2026-01-18 13:17:14.237113,2026-02-10 05:34:19.238931,2,0,1,1,2,1959425.001818,0.0,False,False
sess_1149,646,2025-12-12 10:29:45.222317,2025-12-12 10:29:45.222317,1,1,0,0,1,0.0,0.0,False,False
sess_115,819,2026-05-01 17:26:52.212022,2026-05-01 17:26:52.212022,1,0,1,0,1,0.0,0.0,False,False
sess_1150,736,2025-12-27 22:47:56.186925,2026-05-03 13:05:51.186925,3,3,0,0,3,10937875.0,0.0,False,False
sess_1151,125,2025-11-14 01:05:07.197951,2026-02-11 22:50:42.224321,2,2,0,0,2,7767935.02637,0.0,False,False
sess_1152,328,2025-10-01 19:55:53.228610,2025-10-01 19:55:53.228610,1,1,0,0,1,0.0,0.0,False,False
sess_1153,738,2025-08-07 17:28:41.186925,2026-04-18 04:10:17.178635,5,3,0,2,5,21897695.99171,0.0,True,False
sess_1154,915,2025-09-06 02:38:38.183414,2025-11-08 12:13:33.202536,2,1,0,1,2,5477695.019122,0.0,True,False
sess_1155,364,2025-07-11 22:00:19.240934,2025-07-11 22:00:19.240934,1,1,0,0,1,0.0,0.0,False,False
sess_1156,848,2025-06-17 17:16:52.219548,2026-02-10 00:37:59.212022,3,1,2,0,3,20503266.992474,2.0,False,False
sess_1157,86,2025-08-04 00:20:35.214026,2025-08-08 02:43:06.186925,2,0,0,2,2,354150.972899,0.0,True,False
sess_1158,46,2025-08-12 16:04:05.249957,2026-05-11 12:35:32.216529,3,3,0,0,3,23488286.966572,0.0,False,False
sess_116,488,2025-08-16 22:43:57.228610,2025-10-13 08:04:45.249957,2,0,1,1,2,4958448.021347,0.0,False,False
sess_1160,670,2025-07-24 07:38:00.216529,2025-07-27 05:31:58.181409,2,2,0,0,2,251637.96488,0.0,False,False
sess_1161,487,2025-09-02 00:33:57.247953,2026-03-13 05:15:40.228610,4,1,2,1,4,16605702.980657,2.0,False,False
sess_1162,101,2025-08-23 06:56:38.249957,2025-08-23 06:56:38.249957,1,1,0,0,1,0.0,0.0,False,False
sess_1163,966,2025-08-23 05:43:57.224321,2026-01-14 08:38:06.242937,3,0,3,0,3,12452049.018616,0.0,False,False
sess_1164,828,2025-07-15 06:41:58.237113,2026-02-13 14:45:56.245946,4,2,1,1,4,18432238.008833,0.5,False,False
sess_1165,84,2025-07-02 11:32:28.202536,2026-04-19 21:28:30.242937,3,1,0,2,3,25178162.040401,0.0,True,False
sess_1166,174,2025-07-23 10:45:23.181409,2025-10-09 21:24:54.228610,2,0,1,1,2,6777571.047201,0.0,False,False
sess_1168,869,2025-07-25 04:43:57.224321,2026-03-21 07:55:30.247953,3,2,1,0,3,20661093.023632,0.5,False,False
sess_117,969,2025-06-23 04:58:41.207677,2026-04-10 10:06:44.214026,4,1,2,1,4,25160883.006349,2.0,False,False
sess_1170,780,2025-06-12 16:02:14.228610,2026-04-02 11:15:40.185418,2,1,0,1,2,25384405.956808,0.0,True,False
sess_1171,453,2025-07-13 19:03:35.211509,2026-04-01 10:20:05.224321,2,1,1,0,2,22605390.012812,1.0,False,False
sess_1172,1071,2025-10-22 20:33:10.247953,2026-04-06 13:10:36.214026,3,1,0,2,3,14315845.966073,0.0,True,False
sess_1173,601,2025-06-14 06:11:35.243940,2025-12-10 12:40:03.228610,3,1,2,0,3,15488907.98467,2.0,False,False
sess_1174,902,2026-02-02 17:59:58.186925,2026-04-07 14:30:08.186925,3,3,0,0,3,5517010.0,0.0,False,False
sess_1175,833,2026-01-15 17:56:03.203543,2026-03-30 17:34:40.247953,2,2,0,0,2,6392317.04441,0.0,False,False
sess_1176,636,2026-03-15 05:39:01.247953,2026-03-20 17:28:17.216529,2,1,0,1,2,474555.968576,0.0,True,False
sess_1177,716,2026-04-28 20:06:29.183414,2026-04-28 20:06:29.183414,1,1,0,0,1,0.0,0.0,False,False
sess_1178,378,2025-06-16 13:41:35.228610,2025-06-16 13:41:35.228610,1,1,0,0,1,0.0,0.0,False,False
sess_1179,591,2025-08-08 10:31:20.183414,2026-04-05 21:25:10.216529,6,3,2,1,6,20775230.033115,0.6666666666666666,False,False
sess_118,122,2025-08-26 23:46:09.216529,2026-02-11 02:25:52.224321,3,1,2,0,3,14524783.007792,2.0,False,False
sess_1180,348,2025-09-15 22:54:23.228610,2025-09-15 22:54:23.228610,1,0,0,1,1,0.0,0.0,True,False
sess_1181,130,2025-10-09 08:30:08.216529,2025-10-09 08:30:08.216529,1,0,0,1,1,0.0,0.0,True,False
sess_1182,64,2025-09-12 03:24:25.237113,2025-09-12 03:24:25.237113,1,1,0,0,1,0.0,0.0,False,False
sess_1184,2,2026-03-06 14:42:13.186925,2026-03-06 14:42:13.186925,1,0,0,1,1,0.0,0.0,True,False
sess_1185,476,2025-07-14 23:51:04.238931,2026-02-09 22:48:03.228610,3,1,1,1,3,18140218.989679,1.0,False,False
sess_1187,802,2025-11-28 05:57:30.209185,2026-02-28 03:24:53.249957,3,1,1,1,3,7939643.040772,1.0,False,False
sess_119,598,2026-06-04 04:20:53.245946,2026-06-04 04:20:53.245946,1,0,1,0,1,0.0,0.0,False,False
sess_1190,393,2025-08-15 08:47:49.251960,2026-05-02 14:24:52.197951,2,1,1,0,2,22484222.945991,1.0,False,False
sess_1191,985,2025-08-09 03:29:33.240934,2026-04-21 17:31:46.222317,3,1,2,0,3,22082532.981383,2.0,False,False
sess_1193,480,2025-12-11 01:42:45.214026,2026-06-06 00:21:21.183414,2,0,0,2,2,15287915.969388,0.0,True,False
sess_1195,97,2025-07-24 12:24:48.247953,2025-09-20 04:25:09.245946,2,1,0,1,2,4982420.997993,0.0,True,False
sess_1196,144,2025-11-06 11:02:30.235934,2025-12-03 18:29:27.186925,2,0,2,0,2,2359616.950991,0.0,False,False
sess_1197,265,2025-12-22 13:42:23.219548,2025-12-22 13:42:23.219548,1,0,1,0,1,0.0,0.0,False,False
sess_1198,614,2025-07-19 12:26:51.240934,2025-11-21 06:49:39.178635,3,2,0,1,3,10779767.937701,0.0,True,False
sess_1199,642,2025-06-25 10:07:07.242937,2025-06-25 10:07:07.242937,1,0,1,0,1,0.0,0.0,False,False
sess_12,941,2025-08-09 05:28:55.228610,2026-06-06 04:09:16.178635,6,2,2,2,6,26001620.950025,1.0,False,False
sess_1200,324,2026-05-13 02:02:02.238931,2026-05-13 02:02:02.238931,1,0,1,0,1,0.0,0.0,False,False
sess_1201,1093,2025-11-19 15:47:37.228610,2026-05-01 10:54:57.245946,4,1,3,0,4,14065640.017336,3.0,False,False
sess_1202,426,2025-12-05 10:43:59.186925,2025-12-05 10:43:59.186925,1,0,0,1,1,0.0,0.0,True,False
sess_1203,348,2025-08-17 09:10:12.218542,2025-08-17 09:10:12.218542,1,1,0,0,1,0.0,0.0,False,False
sess_1204,252,2025-09-27 09:41:50.216529,2025-10-05 21:22:12.226324,2,0,1,1,2,733222.009795,0.0,False,False
sess_1205,508,2025-08-18 08:16:34.186925,2026-03-18 14:26:18.224321,6,1,3,2,6,18338984.037396,3.0,False,False
sess_1206,881,2025-11-07 17:00:19.228610,2026-03-23 07:06:20.247953,4,0,2,2,4,11714761.019343,0.0,False,False
sess_1207,860,2025-06-25 11:35:58.212022,2026-04-13 19:35:38.219548,2,2,0,0,2,25257580.007526,0.0,False,False
sess_1208,147,2025-08-16 09:15:22.249957,2025-12-24 18:19:33.185418,2,1,0,1,2,11264650.935461,0.0,True,False
sess_1209,383,2025-11-05 18:25:51.212022,2025-11-05 18:25:51.212022,1,0,0,1,1,0.0,0.0,True,False
sess_121,665,2025-08-28 05:37:34.253968,2025-08-28 05:37:34.253968,1,1,0,0,1,0.0,0.0,False,False
sess_1210,600,2025-11-03 23:36:31.222317,2026-01-08 10:41:05.228610,2,1,1,0,2,5655874.006293,1.0,False,False
sess_1211,405,2025-09-29 01:53:34.186925,2025-09-29 01:53:34.186925,1,0,1,0,1,0.0,0.0,False,False
sess_1212,378,2025-06-12 23:15:17.186925,2025-07-25 05:52:59.222317,2,0,2,0,2,3652662.035392,0.0,False,False
sess_1213,94,2025-12-24 09:00:06.240934,2026-04-25 20:49:56.249957,2,2,0,0,2,10583390.009023,0.0,False,False
sess_1214,360,2025-12-17 21:19:14.185418,2025-12-17 21:19:14.185418,1,1,0,0,1,0.0,0.0,False,False
sess_1215,104,2025-06-25 07:37:51.222317,2026-05-27 05:02:21.178635,5,2,1,2,5,29021069.956318,0.5,False,False
sess_1216,608,2025-07-10 06:38:20.183414,2026-05-05 09:33:29.203543,4,2,0,2,4,25844109.020129,0.0,True,False
sess_1217,908,2025-12-06 09:22:41.228610,2026-03-09 03:00:57.249957,3,2,1,0,3,8012296.021347,0.5,False,False
sess_1218,821,2025-07-27 08:05:09.227826,2025-11-08 09:54:06.185418,4,2,0,2,4,8992136.957592,0.0,True,False
sess_1219,429,2026-04-11 02:24:46.181409,2026-04-11 02:24:46.181409,1,0,0,1,1,0.0,0.0,True,False
sess_122,130,2025-11-12 17:00:03.249957,2026-03-31 01:30:27.212022,2,1,1,0,2,11953823.962065,1.0,False,False
sess_1220,955,2025-06-15 11:30:17.178635,2025-06-15 11:30:17.178635,1,0,0,1,1,0.0,0.0,True,False
sess_1221,315,2025-06-26 00:46:20.218542,2025-06-26 00:46:20.218542,1,0,0,1,1,0.0,0.0,True,False
sess_1222,100,2025-09-20 16:51:59.228610,2026-03-09 19:29:25.203543,3,1,0,2,3,14697445.974933,0.0,True,False
